VariableName,Form,VariableType,ShortDescriptor,DataType,AllowableCodes
COGJUDG,b9,Original UDS question,"Indicate whether the subject currently is meaningfully impaired, relative to previously attained abilities, in executive function - judgment, planning, or problem-solving",Numeric longitudinal," 0 = No		 
1 = Yes
9 = Unknown 
Description/derivation 	Please note that in version 1.2 of the UDS, the follow-up visit form asked for changes since the previous visit. If ""No meaningful changes"" (b9chg = 1) was selected, the clinician did not complete the rest of the form. In these cases, NACC has brought forward data from the previous visit. In cases where changes were reported on the form, the new data are provided longitudinally as recorded by the clinician. These changes apply only to those subjects who had a UDS follow-up visit using version 1.2 of the UDS (2005 - 2008); data collected using versions 2 and 3 of the UDS are not affected by this change."
COGLANG,b9,Original UDS question,"Indicate whether the subject currently is meaningfully impaired, relative to previously attained abilities, in language",Numeric longitudinal," 0 = No		 
1 = Yes
9 = Unknown
Description/derivation 	Please note that in version 1.2 of the UDS, the follow-up visit form asked for changes since the previous visit. If ""No meaningful changes"" (b9chg = 1) was selected, the clinician did not complete the rest of the form. In these cases, NACC has brought forward data from the previous visit. In cases where changes were reported on the form, the new data are provided longitudinally as recorded by the clinician. These changes apply only to those subjects who had a UDS follow-up visit using version 1.2 of the UDS (2005 - 2008); data collected using versions 2 and 3 of the UDS are not affected by this change."
COGVIS,b9,Original UDS question,"Indicate whether the subject currently is meaningfully impaired, relative to previously attained abilities, in visuospatial function",Numeric longitudinal," 0 = No		 
1 = Yes
9 = Unknown
Description/derivation 	Please note that in version 1.2 of the UDS, the follow-up visit form asked for changes since the previous visit. If ""No meaningful changes"" (b9chg = 1) was selected, the clinician did not complete the rest of the form. In these cases, NACC has brought forward data from the previous visit. In cases where changes were reported on the form, the new data are provided longitudinally as recorded by the clinician. These changes apply only to those subjects who had a UDS follow-up visit using version 1.2 of the UDS (2005 - 2008); data collected using versions 2 and 3 of the UDS are not affected by this change."
COGATTN,b9,Original UDS question,"Indicate whether the subject currently is meaningfully impaired, relative to previously attained abilities, in attention or concentration",Numeric longitudinal," 0 = No		 
1 = Yes
9 = Unknown
Description/derivation 	Please note that in version 1.2 of the UDS, the follow-up visit form asked for changes since the previous visit. If ""No meaningful changes"" (b9chg = 1) was selected, the clinician did not complete the rest of the form. In these cases, NACC has brought forward data from the previous visit. In cases where changes were reported on the form, the new data are provided longitudinally as recorded by the clinician. These changes apply only to those subjects who had a UDS follow-up visit using version 1.2 of the UDS (2005 - 2008); data collected using versions 2 and 3 of the UDS are not affected by this change."
COGFLUC,b9,Original UDS question,Indicate whether the subject currently has fluctuating cognition,Numeric longitudinal," 0 = No		 
1 = Yes
9 = Unknown
-4 =  Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
COGFLAGO,b9,Original UDS question,At what age did the fluctuating cognition begin?,Numeric cross-sectional," 15  - 110
888 = Not applicable, no or unknown   
  fluctuating cognition
999 = Age unknown
-4 =  Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
COGOTHR,b9,Original UDS question,"Indicate whether the subject currently is meaningfully impaired, relative to previously attained abilities, in other cognitive domains",Numeric longitudinal," 0 = No	 
1 = Yes
9 = Unknown"
COGOTHRX,b9,Original UDS question,Specification of other cognitive impairment,Character longitudinal, Any text or numbers
NACCCOGF,b9,NACC derived variable,Indicate the predominant symptom that was first recognized as a decline in the subject's cognition,Numeric cross-sectional," 0 = No impairment in cognition
1 = Memory		 
2 = Orientation
3 = Executive function - judgment, planning, problem-solving
4 = Language
5 = Visuospatial function
6 = Attention/concentration
7 = Fluctuating cognition
8 = Other (specify)
99 = Unknown"
NACCCGFX,b9,NACC derived variable,Specification for other predominant symptom first recognized as a decline in the subject's cognition,Character cross-sectional, Any text or numbers
COGMODE,b9,Original UDS question,Mode of onset of cognitive symptoms,Numeric longitudinal," 0 = No impairment in cognition 
1 = Gradual
2 = Subacute
3 = Abrupt
4 = Other (specify)
99 = Unknown
Description/derivation 	Please note that in version 1.2 of the UDS, the follow-up visit form asked for changes since the previous visit. If ""No meaningful changes"" (b9chg = 1) was selected, the clinician did not complete the rest of the form. In these cases, NACC has brought forward data from the previous visit. In cases where changes were reported on the form, the new data are provided longitudinally as recorded by the clinician. These changes apply only to those subjects who had a UDS follow-up visit using version 1.2 of the UDS (2005 - 2008); data collected using versions 2 and 3 of the UDS are not affected by this change."
COGMODEX,b9,Original UDS question,Specification for other mode of onset of cognitive symptoms,Character longitudinal, Any text or numbers
DECAGE,b9,Original UDS question,"Based on clinician's assessment, at what age did the cognitive decline begin?",Numeric longitudinal," 15-110
888 = No impairment in cognition
999 = Age unknown"
DECCLBE,b9,Original UDS question,"Based on clinician's judgment, is the subject currently experiencing any kind of behavioral symptoms?",Numeric longitudinal," 0 = No		 
1 = Yes
-4 =  Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
BEAPATHY,b9,Original UDS question,"Subject currently manifests meaningful change in behavior - Apathy, withdrawal",Numeric longitudinal," 0 = No		 
1 = Yes
9 = Unknown
Description/derivation 	Please note that in version 1.2 of the UDS, the follow-up visit form asked for changes since the previous visit. If ""No meaningful changes"" (b9chg = 1) was selected, the clinician did not complete the rest of the form. In these cases, NACC has brought forward data from the previous visit. In cases where changes were reported on the form, the new data are provided longitudinally as recorded by the clinician. These changes apply only to those subjects who had a UDS follow-up visit using version 1.2 of the UDS (2005 - 2008); data collected using versions 2 and 3 of the UDS are not affected by this change."
BEDEP,b9,Original UDS question,Subject currently manifests meaningful change in behavior - Depressed mood,Numeric longitudinal," 0 = No		 
1 = Yes
9 = Unknown
Description/derivation 	Please note that in version 1.2 of the UDS, the follow-up visit form asked for changes since the previous visit. If ""No meaningful changes"" (b9chg = 1) was selected, the clinician did not complete the rest of the form. In these cases, NACC has brought forward data from the previous visit. In cases where changes were reported on the form, the new data are provided longitudinally as recorded by the clinician. These changes apply only to those subjects who had a UDS follow-up visit using version 1.2 of the UDS (2005 - 2008); data collected using versions 2 and 3 of the UDS are not affected by this change."
BEVHALL,b9,Original UDS question,"Subject currently manifests meaningful change in behavior - Psychosis - 
Visual hallucinations",Numeric longitudinal," 0 = No		 
1 = Yes
9 = Unknown 
Description/derivation 	Please note that in version 1.2 of the UDS, the follow-up visit form asked for changes since the previous visit. If ""No meaningful changes"" (b9chg = 1) was selected, the clinician did not complete the rest of the form. In these cases, NACC has brought forward data from the previous visit. In cases where changes were reported on the form, the new data are provided longitudinally as recorded by the clinician. These changes apply only to those subjects who had a UDS follow-up visit using version 1.2 of the UDS (2005 - 2008); data collected using versions 2 and 3 of the UDS are not affected by this change."
BEVWELL,b9,Original UDS question,"If yes, are the hallucinations well-formed and detailed?",Numeric longitudinal," 0 = No		 
1 = Yes
8 = Not applicable, no visual hallucinations
9 = Unknown
-4 =  Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
BEVHAGO,b9,Original UDS question,"If well-formed, clear-cut visual hallucinations, at what age did these hallucinations begin?",Numeric cross-sectional," 15 - 110
888 = Not applicable, no well-formed visual hallucinations
-4 =  Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
BEAHALL,b9,Original UDS question,"Subject currently manifests meaningful change in behavior - Psychosis - 
Auditory hallucinations",Numeric longitudinal," 0 = No		 
1 = Yes
9 = Unknown
Description/derivation 	Please note that in version 1.2 of the UDS, the follow-up visit form asked for changes since the previous visit. If ""No meaningful changes"" (b9chg = 1) was selected, the clinician did not complete the rest of the form. In these cases, NACC has brought forward data from the previous visit. In cases where changes were reported on the form, the new data are provided longitudinally as recorded by the clinician. These changes apply only to those subjects who had a UDS follow-up visit using version 1.2 of the UDS (2005 - 2008); data collected using versions 2 and 3 of the UDS are not affected by this change."
BEDEL,b9,Original UDS question,"Subject currently manifests meaningful change in behavior - Psychosis - Abnormal, false, or delusional beliefs",Numeric longitudinal," 0 = No		 
1 = Yes
9 = Unknown
Description/derivation 	Please note that in version 1.2 of the UDS, the follow-up visit form asked for changes since the previous visit. If ""No meaningful changes"" (b9chg = 1) was selected, the clinician did not complete the rest of the form. In these cases, NACC has brought forward data from the previous visit. In cases where changes were reported on the form, the new data are provided longitudinally as recorded by the clinician. These changes apply only to those subjects who had a UDS follow-up visit using version 1.2 of the UDS (2005 - 2008); data collected using versions 2 and 3 of the UDS are not affected by this change."
BEDISIN,b9,Original UDS question,Subject currently manifests meaningful change in behavior - Disinhibition,Numeric longitudinal," 0 = No		 
1 = Yes
9 = Unknown
Description/derivation 	Please note that in version 1.2 of the UDS, the follow-up visit form asked for changes since the previous visit. If ""No meaningful changes"" (b9chg = 1) was selected, the clinician did not complete the rest of the form. In these cases, NACC has brought forward data from the previous visit. In cases where changes were reported on the form, the new data are provided longitudinally as recorded by the clinician. These changes apply only to those subjects who had a UDS follow-up visit using version 1.2 of the UDS (2005 - 2008); data collected using versions 2 and 3 of the UDS are not affected by this change."
BEIRRIT,b9,Original UDS question,Subject currently manifests meaningful change in behavior - Irritability,Numeric longitudinal," 0 = No		 
1 = Yes
9 = Unknown
Description/derivation 	Please note that in version 1.2 of the UDS, the follow-up visit form asked for changes since the previous visit. If ""No meaningful changes"" (b9chg = 1) was selected, the clinician did not complete the rest of the form. In these cases, NACC has brought forward data from the previous visit. In cases where changes were reported on the form, the new data are provided longitudinally as recorded by the clinician. These changes apply only to those subjects who had a UDS follow-up visit using version 1.2 of the UDS (2005 - 2008); data collected using versions 2 and 3 of the UDS are not affected by this change."
BEAGIT,b9,Original UDS question,Subject currently manifests meaningful change in behavior - Agitation,Numeric longitudinal," 0 = No		 
1 = Yes
9 = Unknown
Description/derivation 	Please note that in version 1.2 of the UDS, the follow-up visit form asked for changes since the previous visit. If ""No meaningful changes"" (b9chg = 1) was selected, the clinician did not complete the rest of the form. In these cases, NACC has brought forward data from the previous visit. In cases where changes were reported on the form, the new data are provided longitudinally as recorded by the clinician. These changes apply only to those subjects who had a UDS follow-up visit using version 1.2 of the UDS (2005 - 2008); data collected using versions 2 and 3 of the UDS are not affected by this change."
BEPERCH,b9,Original UDS question,Subject currently manifests meaningful change in behavior - Personality change,Numeric longitudinal," 0 = No		 
1 = Yes
9 = Unknown
Description/derivation 	Please note that in version 1.2 of the UDS, the follow-up visit form asked for changes since the previous visit. If ""No meaningful changes"" (b9chg = 1) was selected, the clinician did not complete the rest of the form. In these cases, NACC has brought forward data from the previous visit. In cases where changes were reported on the form, the new data are provided longitudinally as recorded by the clinician. These changes apply only to those subjects who had a UDS follow-up visit using version 1.2 of the UDS (2005 - 2008); data collected using versions 2 and 3 of the UDS are not affected by this change."
BEREM,b9,Original UDS question,Subject currently manifests meaningful change in behavior - REM sleep behavior disorder,Numeric longitudinal," 0 = No		 
1 = Yes
9 = Unknown
-4 =  Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
BEREMAGO,b9,Original UDS question,"If yes, at what age did the REM sleep behavior disorder begin?",Numeric cross-sectional," 15 - 110
888 = Not applicable, no REM sleep behavior disorder
-4 =  Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
BEANX,b9,Original UDS question,Subject currently manifests meaningful change in behavior - Anxiety,Numeric longitudinal," 0 = No		 
1 = Yes
9 = Unknown
-4 =  Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
BEOTHR,b9,Original UDS question,Subject currently manifests meaningful change in behavior - Other,Numeric longitudinal," 0 = No/unknown		 
1 = Yes"
BEOTHRX,b9,Original UDS question,"Subject currently manifests meaningful change in behavior - Other, specify",Character longitudinal, Any text or numbers
NACCBEHF,b9,NACC derived variable,Indicate the predominant symptom that was first recognized as a decline in the subject's behavior,Numeric cross-sectional," 0 = No behavioral symptoms 
1 = Apathy/withdrawal	 
2 = Depressed mood
3 = Psychosis
4 = Disinhibition
5 = Irritability
6 = Agitation
7 = Personality change
8 = REM sleep behavior disorder
9 = Anxiety
10 = Other (specify)
99 = Unknown"
NACCBEFX,b9,NACC derived variable,Specification of other predominant symptom that was first recognized as a decline in the subject's behavior,Character cross-sectional, Any text or numbers
BEMODE,b9,Original UDS question,Mode of onset of behavioral symptoms,Numeric longitudinal," 0 = No behavioral symptoms
1 = Gradual		 
2 = Subacute
3 = Abrupt
4 = Other (specify)
99 = Unknown
Description/derivation 	Please note that in version 1.2 of the UDS, the follow-up visit form asked for changes since the previous visit. If ""No meaningful changes"" (b9chg = 1) was selected, the clinician did not complete the rest of the form. In these cases, NACC has brought forward data from the previous visit. In cases where changes were reported on the form, the new data are provided longitudinally as recorded by the clinician. These changes apply only to those subjects who had a UDS follow-up visit using version 1.2 of the UDS (2005 - 2008); data collected using versions 2 and 3 of the UDS are not affected by this change."
BEMODEX,b9,Original UDS question,Specification of other mode of onset of behavioral symptoms,Character longitudinal, Any text or numbers
BEAGE,b9,Original UDS question,"Based on the clinician's assessment, at what age did the behavioral symptoms begin?",Numeric cross-sectional," 15 - 110	 
888 = Not applicable, no behavioral symptoms
999 = Age unknown
-4 =  Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
DECCLMOT,b9,Original UDS question,"Based on the clinician's judgment, is the subject currently experiencing any motor symptoms?",Numeric longitudinal," 0 = No		 
1 = Yes
-4 =  Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
MOGAIT,b9,Original UDS question,Indicate whether the subject currently has meaningful changes in motor function - Gait disorder,Numeric longitudinal," 0 = No		 
1 = Yes
9 = Unknown 
Description/derivation 	Please note that in version 1.2 of the UDS, the follow-up visit form asked for changes since the previous visit. If ""No meaningful changes"" (b9chg = 1) was selected, the clinician did not complete the rest of the form. In these cases, NACC has brought forward data from the previous visit. In cases where changes were reported on the form, the new data are provided longitudinally as recorded by the clinician. These changes apply only to those subjects who had a UDS follow-up visit using version 1.2 of the UDS (2005 - 2008); data collected using versions 2 and 3 of the UDS are not affected by this change."
MOFALLS,b9,Original UDS question,Indicate whether the subject currently has meaningful changes in motor function - Falls,Numeric longitudinal," 0 = No		 
1 = Yes
9 = Unknown
Description/derivation 	Please note that in version 1.2 of the UDS, the follow-up visit form asked for changes since the previous visit. If ""No meaningful changes"" (b9chg = 1) was selected, the clinician did not complete the rest of the form. In these cases, NACC has brought forward data from the previous visit. In cases where changes were reported on the form, the new data are provided longitudinally as recorded by the clinician. These changes apply only to those subjects who had a UDS follow-up visit using version 1.2 of the UDS (2005 - 2008); data collected using versions 2 and 3 of the UDS are not affected by this change."
MOTREM,b9,Original UDS question,Indicate whether the subject currently has meaningful changes in motor function - Tremor,Numeric longitudinal," 0 = No		 
1 = Yes
9 = Unknown
Description/derivation 	Please note that in version 1.2 of the UDS, the follow-up visit form asked for changes since the previous visit. If ""No meaningful changes"" (b9chg = 1) was selected, the clinician did not complete the rest of the form. In these cases, NACC has brought forward data from the previous visit. In cases where changes were reported on the form, the new data are provided longitudinally as recorded by the clinician. These changes apply only to those subjects who had a UDS follow-up visit using version 1.2 of the UDS (2005 - 2008); data collected using versions 2 and 3 of the UDS are not affected by this change."
MOSLOW,b9,Original UDS question,Indicate whether the subject currently has meaningful changes in motor function - Slowness,Numeric longitudinal," 0 = No		 
1 = Yes
9 = Unknown
Description/derivation 	Please note that in version 1.2 of the UDS, the follow-up visit form asked for changes since the previous visit. If ""No meaningful changes"" (b9chg = 1) was selected, the clinician did not complete the rest of the form. In these cases, NACC has brought forward data from the previous visit. In cases where changes were reported on the form, the new data are provided longitudinally as recorded by the clinician. These changes apply only to those subjects who had a UDS follow-up visit using version 1.2 of the UDS (2005 - 2008); data collected using versions 2 and 3 of the UDS are not affected by this change."
NACCMOTF,b9,NACC derived variable,Indicate the predominant symptom that was first recognized as a decline in the subject's motor function,Numeric longitudinal," 0 = No motor symptoms 
1 = Gait disorder		 
2 = Falls
3 = Tremor
4 = Slowness
99 = Unknown"
MOMODE,b9,Original UDS question,Mode of onset of motor symptoms,Numeric longitudinal," 0 = No motor symptoms 
1 = Gradual		 
2 = Subacute
3 = Abrupt
4 = Other
99 = Unknown 
Description/derivation 	Please note that in version 1.2 of the UDS, the follow-up visit form asked for changes since the previous visit. If ""No meaningful changes"" (b9chg = 1) was selected, the clinician did not complete the rest of the form. In these cases, NACC has brought forward data from the previous visit. In cases where changes were reported on the form, the new data are provided longitudinally as recorded by the clinician. These changes apply only to those subjects who had a UDS follow-up visit using version 1.2 of the UDS (2005 - 2008); data collected using versions 2 and 3 of the UDS are not affected by this change."
MOMODEX,b9,Original UDS question,Specification for other mode of onset of motor symptoms,Character longitudinal, Any text or numbers
MOMOPARK,b9,Original UDS question,Were changes in motor function suggestive of Parkinsonism?,Numeric longitudinal," 0 = No		 
1 = Yes
8 = Not applicable, no motor changes
9 = Unknown
-4 =  Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
PARKAGE,b9,Original UDS question,"If yes, at what age did the motor symptoms suggestive of Parkinsonism begin?",Numeric cross-sectional," 15 - 110
888 = Not applicable, no Parkinsonism
999  = Age unknown
-4 =  Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
MOMOALS,b9,Original UDS question,Were changes in motor function suggestive of amyotrophic lateral sclerosis?,Numeric longitudinal," 0 = No		 
1 = Yes
8 = Not applicable, no motor function changes
9 = Unknown
-4 =  Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
ALSAGE,b9,Original UDS question,"If yes, at what age did the motor symptoms suggestive of ALS begin?",Numeric cross-sectional," 15 - 110
888 = Not applicable, No ALS
-4 =  Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
MOAGE,b9,Original UDS question,"Based on the clinician's assessment, at what age did the motor changes begin?",Numeric cross-sectional," 9 - 110
888= No motor symptoms
-4 =  Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
COURSE,b9,Original UDS question,Overall course of decline of cognitive/behavioral/motor syndrome,Numeric longitudinal," 1 = Gradually progressive		 
2 = Stepwise
3 = Static
4 = Fluctuating
5 = Improved
8 = Not applicable
9 = Unknown
Description/derivation 	Please note that in version 1.2 of the UDS, the follow-up visit form asked for changes since the previous visit. If ""No meaningful changes"" (b9chg = 1) was selected, the clinician did not complete the rest of the form. In these cases, NACC has brought forward data from the previous visit. In cases where changes were reported on the form, the new data are provided longitudinally as recorded by the clinician. These changes apply only to those subjects who had a UDS follow-up visit using version 1.2 of the UDS (2005 - 2008); data collected using versions 2 and 3 of the UDS are not affected by this change."
FRSTCHG,b9,Original UDS question,Indicate the predominant domain that was first recognized as changed in the subject,Numeric longitudinal," 1 = Cognition		 
2 = Behavior
3 = Motor function
8 = Not applicable
9 = Unknown
Description/derivation 	Please note that in version 1.2 of the UDS, the follow-up visit form asked for changes since the previous visit. If ""No meaningful changes"" (b9chg = 1) was selected, the clinician did not complete the rest of the form. In these cases, NACC has brought forward data from the previous visit. In cases where changes were reported on the form, the new data are provided longitudinally as recorded by the clinician. These changes apply only to those subjects who had a UDS follow-up visit using version 1.2 of the UDS (2005 - 2008); data collected using versions 2 and 3 of the UDS are not affected by this change."
LBDEVAL,b9,Original UDS question,Is the subject a potential candidate for further evaluation for Lewy body disease?,Numeric longitudinal," 0 = No		 
1 = Yes
-4 =  Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
FTLDEVAL,b9,Original UDS question,Is the subject a potential candidate for further evaluation for frontotemporal lobar degeneration?,Numeric longitudinal," 0 = No		 
1 = Yes
-4 =  Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
NPSYCLOC,c1c2,Original UDS question,"Where was the remainder of the 
		battery administered?",Numeric longitudinal," 1 = In ADC/clinic	 
2 = In home
3 = In person - other 
-4 = Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
NPSYLAN,c1c2,Original UDS question,"Remainder of battery - Language of 
test administration",Numeric longitudinal," 1 = English	 
2 = Spanish
3 = Other 
-4 = Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
NPSYLANX,c1c2,Original UDS question,"Language of test administration - 
Other, specify",Character longitudinal, Any text or numbers
UDSBENTC,c1c2,Original UDS question,Total Score for copy of Benson figure,Numeric longitudinal," 0 - 17	 
95 = Physical problem
96 = Cognitive/behavior problem
97 = Other problem
98 = Verbal refusal
-4 = Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
UDSBENTD,c1c2,Original UDS question,"Total score for 10- to 15-minute delayed 
drawing of Benson figure",Numeric longitudinal," 0 - 17	 
95 = Physical problem
96 = Cognitive/behavior problem
97 = Other problem
98 = Verbal refusal
-4 = Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
UDSBENRS,c1c2,Original UDS question,"Benson Complex Figure Recall - Recognized original stimulus among 
four options",Numeric longitudinal," 0 = No
1 = Yes
-4 = Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
ANIMALS,c1c2,Original UDS question,"Animals - Total number of animals named 
in 60 seconds",Numeric longitudinal," 0-77	 
95 = Physical problem
96 = Cognitive/behavior problem
97 = Other problem
98 = Verbal refusal
-4 = Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
VEG,c1c2,Original UDS question,"Vegetables - Total number of vegetables 
named in 60 seconds",Numeric longitudinal," 0-77	 
95 = Physical problem
96 = Cognitive/behavior problem
97 = Other problem
98 = Verbal refusal
-4 = Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
TRAILA,c1c2,Original UDS question,"Trail Making Test Part A - Total number 
of seconds to complete",Numeric longitudinal," 0 - 150	 
995 = Physical problem
996 = Cognitive/behavior problem
997 = Other problem
998 = Verbal refusal
-4 = Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
TRAILARR,c1c2,Original UDS question,Part A - Number of commission errors,Numeric longitudinal," 0 - 40
95 = Physical problem	 
96 = Cognitive/behavior problem
97 = Other problem
98 = Verbal refusal
-4 = Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
TRAILALI,c1c2,Original UDS question,Part A - Number of correct lines,Numeric longitudinal," 0-24	 
95 = Physical problem	 
96 = Cognitive/behavior problem
97 = Other problem
98 = Verbal refusal
-4 = Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
TRAILB,c1c2,Original UDS question,"Trail Making Test Part B - Total 
number of seconds to complete",Numeric longitudinal," 0-300	 
995 = Physical problem
996 = Cognitive/behavior problem
997 = Other problem
998 = Verbal refusal
-4 = Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
TRAILBRR,c1c2,Original UDS question,Part B - Number of commission errors,Numeric longitudinal," 0-40	 
95 = Physical problem	 
96 = Cognitive/behavior problem
97 = Other problem
98 = Verbal refusal
-4 = Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
TRAILBLI,c1c2,Original UDS question,Part B - Number of correct lines,Numeric longitudinal," 0-24	 
95 = Physical problem	 
96 = Cognitive/behavior problem
97 = Other problem
98 = Verbal refusal
-4 = Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
UDSVERFC,c1c2,Original UDS question,"Number of correct F-words generated 
in 1 minute",Numeric longitudinal," 0-40	 
95 = Physical problem
96 = Cognitive/behavior problem
97 = Other problem
98 = Verbal refusal
-4 = Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
UDSVERFN,c1c2,Original UDS question,Number of F-words repeated in 1 minute,Numeric longitudinal," 0 - 15	 
95 = Physical problem	 
96 = Cognitive/behavior problem
97 = Other problem
98 = Verbal refusal
-4 = Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
UDSVERNF,c1c2,Original UDS question,"Number of non-F-words and rule violation 
errors in 1 minute",Numeric longitudinal," 0 - 15	 
95 = Physical problem	 
96 = Cognitive/behavior problem
97 = Other problem
98 = Verbal refusal
-4 = Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
UDSVERLC,c1c2,Original UDS question,"Number of correct L-words generated 
in 1 minute",Numeric longitudinal," 0-40	 
95 = Physical problem
96 = Cognitive/behavior problem
97 = Other problem
98 = Verbal refusal
-4 = Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
UDSVERLR,c1c2,Original UDS question,Number of L-words repeated in 1 minute,Numeric longitudinal," 0 - 15	 
95 = Physical problem	 
96 = Cognitive/behavior problem
97 = Other problem
98 = Verbal refusal
-4 = Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
UDSVERLN,c1c2,Original UDS question,"Number of non-L-words and rule violation 
errors in 1 minute",Numeric longitudinal," 0 - 15	 
95 = Physical problem	 
96 = Cognitive/behavior problem
97 = Other problem
98 = Verbal refusal
-4 = Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
UDSVERTN,c1c2,Original UDS question,"Total number of correct F-words and 
L-words",Numeric longitudinal," 0-80	 
95 = Physical problem	 
96 = Cognitive/behavior problem
97 = Other problem
98 = Verbal refusal
-4 = Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
UDSVERTE,c1c2,Original UDS question,"Total number of F-word and L-word 
repetition errors",Numeric longitudinal," 0-30	 
95 = Physical problem	 
96 = Cognitive/behavior problem
97 = Other problem
98 = Verbal refusal
-4 = Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
UDSVERTI,c1c2,Original UDS question,"Number of non-F/L-words and rule 
violation errors",Numeric longitudinal," 0-30	 
95 = Physical problem	 
96 = Cognitive/behavior problem
97 = Other problem
98 = Verbal refusal
-4 = Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
COGSTAT,c1c2,Original UDS question,"Per the clinician, based on the UDS 
neuropsychological examination, the 
subject's cognitive status is deemed:",Numeric longitudinal," 0 = Clinician unable to render opinion	
1 = Better than normal for age
2 = Normal for age
3 = One or two test scores abnormal
4 = Three or more scores are abnormal or lower than expected 
-4 = Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
MMSECOMP,c1,Original UDS question,Was any part of the MMSE completed?,Numeric longitudinal," 0 = No
1 = Yes
-4 = Not available: UDS form submitted
did not collect data in this way, or a
skip pattern precludes response to this
question"
MMSELAN,c1,Original UDS question,Language of MMSE administration,Numeric longitudinal," 1 = English
2 = Spanish
3 = Other
-4 = Not available: UDS form submitted
did not collect data in this way, or a
skip pattern precludes response to this
question"
MMSELOC,c1,Original UDS question,Administration of the MMSE was:,Numeric longitudinal," 1 = In ADC/clinic
2 = In home
3 = In person - other
-4 = Not available: UDS form submitted
did not collect data in this way, or a
skip pattern precludes response to this
question"
MMSELANX,c1,Original UDS question,Language of MMSE administration - Other (specify),Character longitudinal, Any text or numbers
MMSEVIS,c1,Original UDS question,Subject was unable to complete one or more sections due to visual impairment,Numeric longitudinal," 0 = No
1 = Yes
-4 = Not available: UDS form submitted
did not collect data in this way, or a
skip pattern precludes response to this
question"
MMSEHEAR,c1,Original UDS question,Subject was unable to complete one or more sections due to hearing impairment,Numeric longitudinal," 0 = No
1 = Yes
-4 = Not available: UDS form submitted
did not collect data in this way, or a
skip pattern precludes response to this
question"
MMSEORDA,c1,Original UDS question,Orientation subscale score - Time,Numeric longitudinal," 0 - 5
95 = Physical problem
96 = Cognitive/behavior problem
97 = Other problem
98 = Verbal refusal
-4 = Not available: UDS form submitted
did not collect data in this way, or a
skip pattern precludes response to this
question"
MMSEORLO,c1,Original UDS question,Orientation subscale score - Place,Numeric longitudinal," 0 - 5
95 = Physical problem
96 = Cognitive/behavior problem
97 = Other problem
98 = Verbal refusal
-4 = Not available: UDS form submitted
did not collect data in this way, or a
skip pattern precludes response to this
question"
PENTAGON,c1,Original UDS question,Intersecting pentagon subscale score,Numeric longitudinal," 0 -1
95 = Physical problem
96 = Cognitive/behavior problem
97 = Other problem
98 = Verbal refusal
-4 = Not available: UDS form submitted
did not collect data in this way, or a
skip pattern precludes response to this
question"
